order_id,order_date,ship_date,ship_mode
CA-2016-152156,2016-11-08,2016-11-11,Second Class
CA-2016-138688,2016-11-08,2016-11-11,Second Class
US-2015-108966,2016-06-12,2016-06-16,Standard Class
CA-2014-115812,2015-10-11,2015-10-18,Standard Class
CA-2017-114412,2015-10-11,2015-10-18,Standard Class
CA-2016-161389,2014-06-09,2014-06-14,Standard Class
US-2015-118983,2014-06-09,2014-06-14,Standard Class
CA-2014-105893,2014-06-09,2014-06-14,Standard Class
CA-2014-167164,2014-06-09,2014-06-14,Second Class
CA-2014-143336,2014-06-09,2014-06-14,Second Class
CA-2016-137330,2014-06-09,2014-06-14,Standard Class
US-2017-156909,2014-06-09,2014-06-14,Second Class
CA-2015-106320,2017-04-15,2017-04-20,Standard Class
CA-2016-121755,2016-12-05,2016-12-10,Second Class
US-2015-150630,2015-11-22,2015-11-26,Standard Class
CA-2017-107727,2015-11-22,2015-11-26,Second Class
CA-2016-117590,2014-11-11,2014-11-18,First Class
CA-2015-117415,2014-05-13,2014-05-15,Standard Class
CA-2017-120999,2014-08-27,2014-09-01,Standard Class
CA-2016-101343,2014-08-27,2014-09-01,Standard Class
CA-2017-139619,2014-08-27,2014-09-01,Standard Class
CA-2016-118255,2016-12-09,2016-12-13,First Class
CA-2014-146703,2016-12-09,2016-12-13,Second Class
CA-2016-169194,2017-07-16,2017-07-18,Standard Class
CA-2015-115742,2015-09-25,2015-09-30,Standard Class
CA-2016-105816,2016-01-16,2016-01-20,Standard Class
CA-2016-111682,2016-01-16,2016-01-20,First Class
CA-2015-135545,2015-09-17,2015-09-21,Standard Class
US-2015-164175,2015-09-17,2015-09-21,Standard Class
CA-2014-106376,2015-09-17,2015-09-21,Standard Class
CA-2016-119823,2015-09-17,2015-09-21,First Class
CA-2016-106075,2015-09-17,2015-09-21,Standard Class
CA-2017-114440,2015-09-17,2015-09-21,Second Class
US-2015-134026,2015-09-17,2015-09-21,Standard Class
US-2017-118038,2017-10-19,2017-10-23,First Class
US-2014-147606,2016-12-08,2016-12-10,Second Class
CA-2016-127208,2016-12-08,2016-12-10,First Class
CA-2014-139451,2015-12-27,2015-12-31,Standard Class
CA-2015-149734,2015-12-27,2015-12-31,Standard Class
US-2017-119662,2015-12-27,2015-12-31,First Class
CA-2017-140088,2015-12-27,2015-12-31,Second Class
CA-2017-155558,2017-09-10,2017-09-15,Standard Class
CA-2016-159695,2016-07-17,2016-07-22,Second Class
CA-2016-109806,2017-09-19,2017-09-23,Standard Class
CA-2015-149587,2016-03-11,2016-03-13,Second Class
US-2017-109484,2016-03-11,2016-03-13,Standard Class
CA-2017-161018,2014-10-20,2014-10-25,Second Class
CA-2017-157833,2016-06-20,2016-06-25,First Class
CA-2016-149223,2016-06-20,2016-06-25,Standard Class
CA-2016-158568,2015-04-18,2015-04-22,Standard Class
CA-2016-129903,2015-04-18,2015-04-22,Second Class
US-2015-156867,2015-04-18,2015-04-22,Standard Class
CA-2017-119004,2015-04-18,2015-04-22,Standard Class
CA-2015-129476,2016-12-11,2016-12-17,Standard Class
CA-2017-146780,2016-12-11,2016-12-17,Standard Class
CA-2016-128867,2016-06-17,2016-06-18,Standard Class
CA-2014-115259,2016-06-17,2016-06-18,Second Class
CA-2015-110457,2016-06-17,2016-06-18,Standard Class
US-2015-136476,2016-06-17,2016-06-18,Standard Class
CA-2016-103730,2016-06-17,2016-06-18,First Class
US-2014-152030,2016-06-17,2016-06-18,Second Class
US-2014-134614,2016-06-17,2016-06-18,Standard Class
US-2017-107272,2015-11-24,2015-11-30,Standard Class
US-2016-125969,2015-11-24,2015-11-30,Second Class
US-2017-164147,2015-11-24,2015-11-30,First Class
CA-2016-145583,2015-11-24,2015-11-30,Standard Class
CA-2016-110366,2015-04-30,2015-05-05,Second Class
CA-2017-106180,2014-12-05,2014-12-10,Standard Class
CA-2017-155376,2014-12-05,2014-12-10,Standard Class
CA-2015-110744,2016-06-04,2016-06-06,Standard Class
CA-2014-110072,2016-09-18,2016-09-23,Standard Class
CA-2016-114489,2017-09-14,2017-09-17,Standard Class
CA-2016-158834,2015-04-26,2015-05-02,First Class
CA-2015-124919,2015-04-26,2015-05-02,First Class
CA-2015-118948,2015-04-26,2015-05-02,Standard Class
CA-2014-104269,2017-12-09,2017-12-11,Second Class
CA-2016-114104,2017-12-09,2017-12-11,Standard Class
CA-2016-162733,2017-12-09,2017-12-11,First Class
CA-2015-119697,2014-11-26,2014-12-01,Second Class
CA-2016-154508,2016-06-12,2016-06-15,Standard Class
CA-2016-113817,2016-06-12,2016-06-15,Standard Class
CA-2014-139892,2014-10-12,2014-10-16,Standard Class
CA-2014-118962,2014-10-12,2014-10-16,Standard Class
US-2014-100853,2015-09-03,2015-09-08,Standard Class
US-2017-152366,2017-11-13,2017-11-16,Second Class
US-2015-101511,2017-05-28,2017-05-30,Second Class
CA-2015-137225,2017-10-26,2017-11-02,Standard Class
CA-2014-166191,2017-10-26,2017-11-02,Second Class
CA-2014-158274,2016-04-05,2016-04-10,Second Class
CA-2016-105018,2016-09-17,2016-09-22,Standard Class
CA-2014-123260,2016-09-17,2016-09-22,Standard Class
CA-2016-157000,2016-09-17,2016-09-22,Standard Class
CA-2015-102281,2015-01-31,2015-02-05,First Class
CA-2015-131457,2015-01-31,2015-02-05,Standard Class
CA-2014-140004,2015-01-31,2015-02-05,Standard Class
CA-2017-107720,2017-11-06,2017-11-12,Standard Class
US-2017-124303,2017-11-09,2017-11-11,Standard Class
CA-2017-105074,2017-06-17,2017-06-20,Standard Class
CA-2014-133690,2016-09-06,2016-09-11,First Class
US-2017-116701,2016-08-29,2016-09-02,Second Class
CA-2017-126382,2016-08-29,2016-09-02,Standard Class
CA-2017-108329,2016-08-29,2016-09-02,Standard Class
CA-2017-135860,2016-12-01,2016-12-04,Standard Class
CA-2015-101007,2015-11-13,2015-11-17,Second Class
CA-2015-146262,2015-11-13,2015-11-17,Standard Class
CA-2016-130162,2015-11-13,2015-11-17,Standard Class
CA-2015-169397,2017-11-23,2017-11-28,First Class
CA-2015-163055,2017-11-23,2017-11-28,Standard Class
US-2015-145436,2017-11-23,2017-11-28,Standard Class
US-2014-156216,2015-10-15,2015-10-20,Standard Class
US-2017-100930,2017-12-25,2017-12-30,Standard Class
CA-2017-160514,2016-11-03,2016-11-10,Standard Class
CA-2016-157749,2016-11-03,2016-11-10,Second Class
CA-2014-131926,2014-08-25,2014-08-27,Second Class
CA-2016-154739,2014-08-25,2014-08-27,Second Class
CA-2016-145625,2014-08-25,2014-08-27,Standard Class
CA-2016-146941,2014-08-25,2014-08-27,First Class
US-2015-159982,2015-03-02,2015-03-06,Standard Class
CA-2017-163139,2015-04-05,2015-04-10,Second Class
US-2017-155299,2016-06-12,2016-06-15,Standard Class
US-2014-106992,2016-06-12,2016-06-15,Second Class
CA-2016-125318,2016-06-12,2016-06-15,Standard Class
CA-2015-155040,2016-06-12,2016-06-15,Standard Class
CA-2017-136826,2016-06-12,2016-06-15,Standard Class
CA-2016-111010,2014-12-26,2014-12-28,Standard Class
US-2017-145366,2014-09-20,2014-09-25,Standard Class
CA-2017-163979,2017-11-05,2017-11-12,Second Class
CA-2015-155334,2017-11-05,2017-11-12,First Class
CA-2017-118136,2016-11-06,2016-11-10,First Class
CA-2017-132976,2016-11-06,2016-11-10,Standard Class
US-2015-161991,2017-02-02,2017-02-05,Second Class
CA-2015-130890,2017-02-02,2017-02-05,Standard Class
CA-2015-130883,2017-02-02,2017-02-05,Standard Class
CA-2016-112697,2016-10-13,2016-10-19,Second Class
CA-2016-110772,2016-10-13,2016-10-19,Second Class
CA-2014-111451,2016-10-13,2016-10-19,First Class
CA-2016-142545,2016-10-13,2016-10-19,Standard Class
US-2017-152380,2016-10-13,2016-10-19,Standard Class
CA-2015-144253,2016-10-13,2016-10-19,Second Class
CA-2014-130960,2016-10-13,2016-10-19,Standard Class
CA-2014-111003,2016-09-05,2016-09-07,Standard Class
CA-2017-126774,2017-09-18,2017-09-23,First Class
CA-2016-142902,2017-09-18,2017-09-23,Second Class
CA-2014-120887,2017-09-18,2017-09-23,Standard Class
CA-2014-167850,2017-12-22,2017-12-27,Standard Class
CA-2014-164259,2015-09-07,2015-09-12,First Class
CA-2014-164973,2014-10-22,2014-10-28,Standard Class
CA-2014-156601,2016-12-05,2016-12-09,Standard Class
CA-2016-162138,2016-12-05,2016-12-09,Standard Class
CA-2017-153339,2016-12-05,2016-12-09,Second Class
US-2016-141544,2016-12-05,2016-12-09,First Class
US-2016-150147,2016-03-13,2016-03-16,Second Class
CA-2015-137946,2016-03-13,2016-03-16,Second Class
CA-2014-129924,2015-05-31,2015-06-02,Standard Class
CA-2015-128167,2015-05-31,2015-06-02,Second Class
CA-2014-122336,2015-05-31,2015-06-02,Second Class
US-2015-120712,2015-05-28,2015-06-03,Standard Class
CA-2017-169901,2014-03-01,2014-03-06,Standard Class
CA-2017-134306,2016-11-20,2016-11-24,Standard Class
CA-2016-129714,2016-11-20,2016-11-24,First Class
CA-2016-138520,2016-05-11,2016-05-12,Standard Class
CA-2016-130001,2015-12-28,2015-12-31,Standard Class
CA-2017-155698,2016-11-16,2016-11-20,First Class
CA-2017-144904,2016-11-07,2016-11-11,Standard Class
CA-2014-123344,2014-09-08,2014-09-12,Standard Class
CA-2016-155516,2014-09-08,2014-09-12,Same Day
CA-2017-104745,2014-09-08,2014-09-12,Standard Class
US-2014-119137,2014-09-08,2014-09-12,Standard Class
US-2016-134656,2014-09-08,2014-09-12,First Class
US-2017-134481,2014-09-08,2014-09-12,Standard Class
CA-2015-130792,2014-09-08,2014-09-12,Standard Class
CA-2016-134775,2014-08-05,2014-08-09,First Class
CA-2015-125395,2014-08-05,2014-08-09,Second Class
US-2015-168935,2014-08-05,2014-08-09,Standard Class
CA-2015-122756,2014-09-14,2014-09-19,Standard Class
CA-2014-115973,2014-09-14,2014-09-19,First Class
CA-2017-101798,2017-04-21,2017-04-25,Standard Class
US-2014-135972,2015-11-21,2015-11-23,Second Class
US-2014-134971,2015-11-21,2015-11-23,Second Class
CA-2017-102946,2015-12-15,2015-12-19,Standard Class
CA-2017-165603,2014-12-05,2014-12-09,Second Class
CA-2015-122259,2014-12-05,2014-12-09,Standard Class
CA-2016-108987,2014-11-19,2014-11-24,Second Class
CA-2014-113166,2014-11-19,2014-11-24,First Class
CA-2014-155208,2014-11-19,2014-11-24,Standard Class
CA-2017-117933,2016-11-28,2016-12-02,Standard Class
CA-2017-117457,2014-08-26,2014-08-30,Standard Class
CA-2017-142636,2016-07-16,2016-07-22,Standard Class
CA-2017-122105,2016-07-16,2016-07-22,Standard Class
CA-2016-148796,2015-10-12,2015-10-14,Standard Class
CA-2017-154816,2015-10-12,2015-10-14,Standard Class
CA-2017-110478,2015-10-12,2015-10-14,Standard Class
CA-2014-142048,2015-10-12,2015-10-14,First Class
CA-2017-125388,2015-10-12,2015-10-14,Standard Class
CA-2017-155705,2015-10-31,2015-11-06,Second Class
CA-2017-149160,2014-03-21,2014-03-25,Second Class
CA-2014-101476,2014-03-21,2014-03-25,First Class
CA-2017-152275,2017-11-06,2017-11-13,Standard Class
US-2016-123750,2017-07-06,2017-07-13,Standard Class
CA-2016-127369,2017-07-06,2017-07-13,First Class
US-2014-150574,2017-06-24,2017-06-29,Standard Class
CA-2016-147375,2014-08-03,2014-08-05,Second Class
CA-2017-130043,2014-08-03,2014-08-05,Standard Class
CA-2017-157252,2017-12-17,2017-12-21,Second Class
CA-2016-115756,2017-06-03,2017-06-07,Second Class
CA-2017-154214,2017-12-09,2017-12-14,Second Class
CA-2016-166674,2017-12-01,2017-12-07,Second Class
CA-2017-147277,2017-12-01,2017-12-07,Standard Class
CA-2016-100153,2017-12-01,2017-12-07,Standard Class
US-2014-110674,2017-12-01,2017-12-07,Standard Class
US-2016-157945,2017-12-01,2017-12-07,Standard Class
CA-2015-109638,2015-02-09,2015-02-13,Standard Class
CA-2016-109869,2015-01-02,2015-01-09,Standard Class
US-2015-101399,2015-01-02,2015-01-09,Standard Class
CA-2017-154907,2015-01-02,2015-01-09,Standard Class
US-2016-100419,2015-01-02,2015-01-09,Second Class
CA-2015-154144,2015-01-02,2015-01-09,Standard Class
CA-2014-144666,2016-10-28,2016-11-01,Second Class
CA-2016-103891,2016-10-28,2016-11-01,Standard Class
CA-2016-152632,2015-12-24,2015-12-27,Standard Class
CA-2016-100790,2015-12-24,2015-12-27,Standard Class
CA-2014-134677,2015-12-24,2015-12-27,Standard Class
CA-2014-127691,2015-12-24,2015-12-27,Standard Class
CA-2017-140963,2015-12-24,2015-12-27,First Class
CA-2014-154627,2015-12-24,2015-12-27,First Class
CA-2014-133753,2015-08-09,2015-08-16,Second Class
CA-2014-113362,2015-08-09,2015-08-16,Standard Class
CA-2016-169166,2015-08-09,2015-08-16,Standard Class
US-2016-120929,2015-02-28,2015-03-04,Second Class
CA-2015-134782,2015-02-28,2015-03-04,Standard Class
